palavra,peso
boring,-6.583017879056203
worst,-5.922787673302119
disappointed,-5.745462202100642
disappointing,-5.284623395653932
terrible,-5.100458957998487
waste,-5.037048595670645
poor,-5.035896504068922
money,-4.813152008362228
horrible,-4.600910380868245
bad,-4.5598330640679645
disappointment,-4.203025371688616
awful,-3.6545974353133057
poorly,-3.4084675464115373
worse,-3.1799382994053245
instead,-3.0390377433675355
unfortunately,-3.038358547659296
weak,-2.9385216904681606
don,-2.931387026494159
garbage,-2.7711783193198487
guess,-2.7587699055332613
