palavra,peso
great,9.150453172501331
best,6.599077127648826
excellent,6.421974905845921
love,6.021883324631391
perfect,4.753864769162506
easy,4.703059769756067
awesome,4.202016334627885
favorite,4.160370707272777
amazing,3.92211645981883
wonderful,3.903014993809914
good,3.5919288213487053
enjoyed,3.1904998948056824
nice,3.06781801330284
life,3.055150395157217
loved,3.0046777311830137
highly,2.8462363521614638
fun,2.8091972752236467
fantastic,2.801388277872754
loves,2.798524861896188
works,2.6876165998496244
